x	y	z	Name	Id	PType	Colour Num	Colour Id	Colour (red)	Colour (green)	Colour (blue)
535535.2646	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.2646	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.4632	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.6618	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535535.8604	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.0590	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.2576	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748311.1520	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748311.3502	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748311.5484	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748311.7466	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748311.9448	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748312.1430	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748312.3412	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748312.5394	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748312.7376	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748312.9358	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748313.1340	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748313.3322	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748313.5304	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748313.7286	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748313.9268	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748314.1250	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748314.3233	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748314.5215	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748314.7197	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748314.9179	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.4563	4748315.1161	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748307.3861	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748307.5843	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748307.7825	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748307.9807	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748308.1789	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748308.3771	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748308.5753	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748308.7735	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748308.9717	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748309.1699	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748309.3681	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748309.5663	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748309.7645	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748309.9627	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748310.1610	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748310.3592	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748310.5574	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748310.7556	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
535536.6549	4748310.9538	0.0000	2cm_x_2cm_grid	27	0	4294967295	7	255	255	255
